pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,817.4204323251763
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,822.5832584770783
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,833.7993821782484
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,821.8466669682264
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,816.2835829547428
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,822.9011453523145
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,816.5927610860228
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,820.251510277723
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,825.4961538433483
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,837.8264141807779
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,826.8982932289794
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,821.912641448448
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,825.7204291373198
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,820.6256529707256
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,820.7324008163765
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,824.3411553497759
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,838.434636107235
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,828.7103174351342
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,821.9523059622792
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,823.7553597782284
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,816.5058154265262
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,816.7344661140696
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,821.4295958602058
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,832.3168173581414
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,821.0364096062293
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,816.9995421179136
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,819.7799132329017
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,817.3160847676223
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,812.784917912202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,818.478031693241
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,815.4074606931763
